start,stop,PCorr,SCorrS,ScorrQ,PartialCorr,pval
2,27,0.039922137798955024,0.04412356733114857,0.06283334631770289,-0.0633972645589475,0.1799306742640696
3,5,0.07772621016448968,0.04895069786641683,0.046518617095537576,0.04835091003107735,0.30664864633609945
3,6,0.0662436812442888,0.052320618433853626,0.05533460989310894,0.032652198157299826,0.49010422993393676
3,7,0.07039218249077983,0.07629982060180661,0.086153900433168,0.028651209451614316,0.5448201023319788
3,8,0.08028834124357072,0.10230616812520084,0.11657249646456147,0.03138133140896573,0.5071587569988982
3,9,0.06923307052397548,0.09448761156450716,0.1108551296507572,0.01657918869765109,0.7260749116588414
3,10,0.05439397248036815,0.08646819026958105,0.10557426038138433,-0.005570657267336122,0.906295871474564
3,11,0.06089881764537412,0.10066143139522105,0.11757548644621439,-0.0014475021663496546,0.9755992785614616
3,12,0.07249685620087709,0.11018576331423686,0.12606826880678976,0.0073593935765938956,0.876419141865777
3,13,0.05761654107972916,0.09172992619611958,0.106431903812981,-0.013419896373233734,0.7767302688045408
3,14,0.05530940614798106,0.08729153856497224,0.09849538040278168,-0.019742265521958582,0.6765279877851795
3,15,0.05515400710533728,0.08512372087588921,0.09672586503696125,-0.023203994504594917,0.6238655415565706
3,16,0.04453697496256097,0.07748904790693417,0.09330286589868769,-0.03669555617847782,0.43795054718966697
3,17,0.04239331870712708,0.0739512285020321,0.09015814838193248,-0.04025603794297292,0.39478193895767844
3,18,0.04494630389754898,0.06907585360873374,0.08344617006408571,-0.040497640697967366,0.3919486658800909
3,19,0.0495973192141137,0.0783816261872624,0.09383832378239945,-0.038602268412688476,0.41450501953838437
3,20,0.040913569670200704,0.06685003981639168,0.08223431396648283,-0.05068735501130931,0.28383643391604974
3,21,0.0366771868298941,0.054614699233206894,0.07296446393429891,-0.058089886520461584,0.21925593949949163
3,22,0.031207495907799712,0.04796001678130284,0.06795417680361368,-0.06687270194998725,0.1571737501806374
3,23,0.02964508026901487,0.048505566812935885,0.06938373188672343,-0.06992395496399827,0.1390486562962856
3,24,0.03298806928426888,0.04669469128136428,0.06663495122022355,-0.06621536557053632,0.16130233660695184
3,25,0.029493176976603527,0.04235974793711076,0.060190036235057656,-0.07173349090154811,0.12908396919009935
3,26,0.03667970919117082,0.042066860041028296,0.05953637605635187,-0.06512082641742895,0.16835722884680293
3,27,0.04159092270291295,0.04445990350525017,0.06271106197413857,-0.060436199766748855,0.2011722239280056
4,6,0.03824438204239004,0.01528312652001815,0.02133034345369573,0.010517092682278942,0.8241285100068437
4,7,0.04814131367245444,0.04760390957793296,0.05913969101974881,0.010594761778728496,0.8228510973089371
4,8,0.06382664360608402,0.08485957927470031,0.09969206268286268,0.01721202318164892,0.7160622390442737
4,9,0.05322058653095785,0.07892487426842103,0.09606639218622744,0.00230458475296675,0.9611605949739599
4,10,0.038570857513416885,0.0718955441190631,0.09254609627753707,-0.02101279678443999,0.6569984431140543
4,11,0.047617709121784584,0.08459413208533337,0.10248908004002705,-0.0145286041853415,0.7588329829806616
4,12,0.061222608843921,0.10094594603411391,0.11716753585042397,-0.0036406148128629396,0.9386804567757747
4,13,0.045700183475823886,0.08103908528547678,0.09551097899027887,-0.025337233631786384,0.592320931052621
4,14,0.04417668264602828,0.0761271526975363,0.08763934601712577,-0.03133969863904839,0.5077226608946807
4,15,0.044791599592585496,0.0757878915463933,0.08792252360342556,-0.03428331979521763,0.46867380142815573
4,16,0.03411417372887731,0.06783343913628896,0.08389927104152474,-0.047957081026562286,0.31060988416710594
4,17,0.0325134910770674,0.06360749528889098,0.08012624832245438,-0.05101566396375382,0.28072517894446875
4,18,0.03574059945708134,0.06053712909312415,0.07450596667618369,-0.05066698636102626,0.28403022322677834
4,19,0.04114180924226951,0.07082587558038987,0.08622169079885808,-0.0482093303721542,0.3080688349347998
4,20,0.03241227239642506,0.059352748914644905,0.07483050612847783,-0.060365726108708107,0.20169908763350097
4,21,0.028372932785192057,0.04608703181969719,0.06423265940155291,-0.06766111357738913,0.15232779394576207
4,22,0.023076489134317358,0.03863685158339451,0.058701458576295565,-0.07634872654807527,0.10617006250539171
4,23,0.021788681967348345,0.03969371465784855,0.06090048440514887,-0.07907547516726383,0.09422301947406689
4,24,0.02551634621767917,0.038404080353722586,0.058202419207793316,-0.07481167881607508,0.11341435910456371
4,25,0.022196493771107707,0.03219779122258358,0.05024360634450079,-0.0801763923234055,0.0897147740104276
4,26,0.029886887527450324,0.03472444178221614,0.052366192922347767,-0.07309719868712622,0.12194672897321561
4,27,0.03523351618046436,0.03726055342835316,0.05559024574286726,-0.06798703172578557,0.15035798412834775
5,7,0.04343328131311346,0.06234184958533137,0.07992629055597715,0.007499844733826157,0.874080078336493
5,8,0.06043181406723684,0.10110944557980615,0.11742548295139384,0.016115023681549094,0.7334487902642758
5,9,0.047405232506080704,0.09063458518714675,0.10812615519266151,-0.0021240784583911156,0.9642005643763019
5,10,0.030564788420969862,0.07395038846267254,0.09668182342505073,-0.02889635508352698,0.541382637338985
5,11,0.04172610335768862,0.09122519093118052,0.10923177760577825,-0.020072785482220884,0.6714259378563167
5,12,0.05739418873949602,0.10203859642414931,0.11802971969901205,-0.007193956157971202,0.8791757036925506
5,13,0.04037708817033709,0.08238171184256948,0.09599786969067131,-0.03077626746278293,0.5153863118540851
5,14,0.039115554165632886,0.07588778805998132,0.0862483142482393,-0.03688907073317546,0.43553692343405603
5,15,0.04022341948469053,0.07849763725944084,0.08998242161664567,-0.03975142316715516,0.40073922914668847
5,16,0.028956280808581952,0.0719458868814811,0.08757160782978732,-0.05407364993707193,0.2528547685525385
5,17,0.02751669081054194,0.06606416211590713,0.08226248429527512,-0.05672432280217745,0.23030157743804663
5,18,0.031235292309905044,0.06396586796059643,0.07746568830751294,-0.05597234758719686,0.2365497536491512
5,19,0.03722291541070914,0.07354714639862009,0.08879704423947522,-0.05310519344242429,0.2614652579867825
5,20,0.028166659129866108,0.06006863064763972,0.07563335074501554,-0.06559120776270304,0.1652975903003738
5,21,0.02413333299523064,0.04692804207724323,0.06541933517924609,-0.07305079731451407,0.12218441883978576
5,22,0.0187867120890453,0.03721098464489466,0.05738195641316915,-0.08183251708835054,0.08326068742822432
5,23,0.01760455398603549,0.03817612724271219,0.059169526225111194,-0.0842399873839611,0.07455240495312382
5,24,0.021634687341996126,0.04054095253143461,0.05968553573257995,-0.07951991173198981,0.09238173700902008
5,25,0.01833744291634656,0.03464448719159579,0.05192510463113486,-0.08484361629984975,0.07248940810415598
5,26,0.02643379375056331,0.03520770568007211,0.05240670105537561,-0.07724410565084314,0.10212165274095193
5,27,0.03213246608982948,0.03695526653310732,0.05516531511620507,-0.0718703535575553,0.12835339005692567
6,8,0.05791357057552082,0.091478769780616,0.10046843777971187,0.01845098441905218,0.6966011000231629
6,9,0.035218191711007894,0.07050227745913852,0.08302798866515389,-0.007660966562421637,0.8713981182401983
6,10,0.01672589849752102,0.06388317714359289,0.08234777920763318,-0.03803244598935294,0.4214330604856036
6,11,0.03189312096495228,0.07770487307968459,0.0914261012723263,-0.026019244969732413,0.5823919793577813
6,12,0.05062092453323409,0.08879260450511024,0.10105978364627666,-0.010744108542181118,0.8203961293184523
6,13,0.03242263855816407,0.06548077889352091,0.07572355406226701,-0.036339407710866745,0.4424126157141899
6,14,0.03172975627049805,0.065596045156838,0.07212028455911082,-0.042445787628992246,0.36955489799069574
6,15,0.03338142017826234,0.06812706772571674,0.07522530920806807,-0.044809777952437665,0.34346998289873676
6,16,0.02178400910535482,0.06490865151785155,0.07674728178387558,-0.05977451324048582,0.20615854955449156
6,17,0.020813181179531404,0.06116277195566077,0.07375338935605852,-0.06219222723832656,0.18836548811545195
6,18,0.02519099877060674,0.05686691624459302,0.0673952366906688,-0.06093462444118342,0.19747452306771596
6,19,0.031919728208893314,0.06596420073939518,0.07836585011483267,-0.057654885959250904,0.22273259859014627
6,20,0.022658438233504257,0.055614272662032796,0.06804956060888222,-0.07050973743684531,0.1357602566131504
6,21,0.01870294542980771,0.04034507446455443,0.05600050294406357,-0.07807214833790424,0.09848760343017075
6,22,0.013413029897802556,0.030300614957919123,0.048259067071900884,-0.0870982610510799,0.06519189263158928
6,23,0.012436795623309387,0.03234181206597359,0.05101767201110165,-0.08929852385141823,0.058663607715994597
6,24,0.016855170553789933,0.036274749571237275,0.05367445825717059,-0.08414843498896231,0.0748694347114853
6,25,0.013635018458323937,0.028141829061264778,0.04394686904592387,-0.0895059038971312,0.0580772380498757
6,26,0.022229500140773496,0.030212494515501703,0.04543070666690171,-0.08134280352934534,0.08512887707174475
6,27,0.02834056782044022,0.032421043606792835,0.04844003012388837,-0.07567745121985907,0.10928757316808321
7,9,0.0006822054517410074,0.007735605369044693,0.02370006380912225,-0.03220264021669171,0.4961017492102734
7,10,-0.013515366811402509,0.0065707766792952125,0.02148457990127937,-0.06157330214182,0.1928091041636189
7,11,0.012611357874961125,0.03862001265866529,0.04791601095980121,-0.040983109937902135,0.386292870822197
7,12,0.03826463607586017,0.06132218897110903,0.06942625373423325,-0.020100291805337154,0.6710020136909125
7,13,0.01835384273537243,0.039503167603476975,0.0469346273984922,-0.048755653335393445,0.3026125372612619
7,14,0.019020902901191246,0.03684016878165799,0.04027261041363319,-0.05425403503550621,0.25127298176810986
7,15,0.022014512674871013,0.041444853897742114,0.0456730922481902,-0.055309755062215527,0.24215343900871147
7,16,0.010030293875904409,0.037200452142987166,0.04738031184670653,-0.07068357961870526,0.13479596906134514
7,17,0.009951382860101915,0.03755717504623586,0.04956529566808848,-0.07225806964298472,0.126301130700531
7,18,0.015514641749312028,0.03677608680320518,0.04635338544825058,-0.07007472663157606,0.1381964859162829
7,19,0.023420350442196525,0.05123958783636216,0.06098386453383896,-0.06595051849759424,0.16298866207821708
7,20,0.014004915669938988,0.03881890453192083,0.04949712980243597,-0.07919701505057708,0.09371659569554952
7,21,0.010267203101899925,0.024528251098291463,0.038872233948737275,-0.08675410173061224,0.06626510185865124
7,22,0.005143660222150966,0.014489854956092556,0.03144373928020778,-0.09595655520741536,0.042122606826370416
7,23,0.004551448023760075,0.018453921360236825,0.036683586015706975,-0.09784540040514172,0.03821858621681979
7,24,0.009573565081089867,0.02368296578993445,0.04006244868548758,-0.09204600132566718,0.051280806798690855
7,25,0.0065201700862708,0.01592773377676008,0.030568870013778088,-0.09733908349150366,0.03923375103276768
7,26,0.015866107306647746,0.019022032043164726,0.03295168972501025,-0.08835734122325499,0.06138671903954775
7,27,0.02256984889112349,0.02025534481897766,0.03494978699705975,-0.08216490566095615,0.0820116327446288
8,10,-0.021255013586040775,0.0027610666793598977,0.014067039561252362,-0.06953064326564698,0.1412906577230161
8,11,0.018165892790499967,0.03882832626094082,0.046384274214007384,-0.03153125376778393,0.5051308214164334
8,12,0.0479292495534169,0.07161848009162393,0.07877068841674348,-0.0073056677491231264,0.8773141736182009
8,13,0.022718673851391483,0.04167923710227868,0.04785234993922886,-0.04277799967514525,0.36581682736337906
8,14,0.022764748113677794,0.037484026645389586,0.03982923868904601,-0.04945446968038338,0.2957271713525644
8,15,0.02559633080002169,0.03752131224717746,0.0406043621268797,-0.05093491777257276,0.2814882301468099
8,16,0.011781787029859703,0.029770313290586947,0.04021927854866339,-0.06798544753632645,0.15036751173739704
8,17,0.011454571364557672,0.03349309916912637,0.046071587907319016,-0.06941332632052521,0.14196473449301722
8,18,0.017393854887712678,0.035939754151949124,0.045766854535026144,-0.0673835866173551,0.15402051320431998
8,19,0.02580680802694485,0.05016014153344278,0.060447738482542236,-0.06311461808860447,0.1818835306448489
8,20,0.01551302162605559,0.036430993761471395,0.046881525566042026,-0.07751710020930676,0.10091198369486672
8,21,0.011417765115492392,0.021945348686586978,0.03720400757812291,-0.08570581086838139,0.069623733613165
8,22,0.005881775390179013,0.014095035072836036,0.03107570642159404,-0.09555633571755522,0.04299163148116917
8,23,0.005204273734123337,0.01637975144183652,0.034800861831889046,-0.09741754463449567,0.03907495808343832
8,24,0.010493106188770545,0.02107110935782473,0.03787870941005771,-0.09136995853036316,0.053021417606151616
8,25,0.00722465182859312,0.016418911125890466,0.03097553726411269,-0.09701764714828534,0.039890000675261945
8,26,0.017018005841270493,0.01791893109121077,0.03193002953068027,-0.08742944993123863,0.06417266012913048
8,27,0.024020484752304568,0.019329650120769853,0.03420879051718039,-0.08104315589020288,0.08628855351551748
9,11,0.04947984376061099,0.06512113792390226,0.06568533790049388,0.013849271289252951,0.7697844928441022
9,12,0.07260504527413708,0.09071581907129181,0.09305901542768073,0.029350534047279688,0.5350427354974416
9,13,0.03652000308687518,0.04879774103230903,0.049562413143443035,-0.019021517368790344,0.6877049596651112
9,14,0.03410588256086459,0.04196274282493431,0.03802238924639297,-0.029838833138266886,0.5282684234681092
9,15,0.03556264248554791,0.03873598095380887,0.03672016510428437,-0.0338931661460349,0.4737522990008144
9,16,0.018911373223811697,0.03246759387778619,0.03911635415154258,-0.05450579751053335,0.24907681482543592
9,17,0.01775502407445986,0.03937152677330508,0.05020921294453348,-0.05753813837115824,0.2236723391253162
