Id	quartile	guideScore	mfe	gq	dr	result
KRAS-35	4	1.0922911800411677	-9.1	0	0	((((.((.(((((((.........))).(((.....)))............)))))).)))).. ( -9.10)
KRAS-36	1	-0.0437231511122802	-11.3	0	0	.....................(((((((...........(((...)))........))))))). (-11.30)
KRAS-39	3	0.7978234824162717	-7.7	0	1	..(((((....((((.........)))).)))))....((((.............))))..... ( -7.70)
KRAS-42	2	0.46994721079801766	-11.1	0	0	(.(((((....((((.........)))).))))).)...((((.((..(....)..)))))).. (-11.10)
KRAS-43	3	0.8992001345984647	-13.7	0	0	(.(((((....((((.........)))).))))).).((((...((......))...))))... (-13.70)
KRAS-44	3	0.7537748844948806	-8.1	0	0	(.(((((....((((.........)))).))))).).....(((((...........))))).. ( -8.10)
KRAS-45	1	0.08168787962882257	-15.9	0	0	...........((((.........))))((((..(((((..(((....)))..)))))..)))) (-15.90)
KRAS-46	2	0.2889898766381582	-10.5	0	0	.............(((.....((((((((.................))))))))...))).... (-10.50)
KRAS-47	1	0.1606456104905525	-11.7	0	1	..(((((....((((.........)))).)))))....(((((............))))).... (-11.70)
KRAS-48	3	0.618041758641297	-13.0	0	0	(((((.((((.((((.........))))((((....)))).....)))))))))((.....)). (-13.00)
KRAS-49	3	0.6534143139129418	-10.0	0	0	(.(((((....((((.........)))).))))).)......((((((.......))).))).. (-10.00)
KRAS-50	2	0.41498922713561054	-10.5	0	0	(((((((....((((.........)))).......)))))))...................... (-10.50)
KRAS-51	3	0.8406206024883173	-6.9	0	0	(.(((((....((((.........)))).))))).)............................ ( -6.90)
KRAS-52	3	0.9433757919656502	-6.9	0	0	(.(((((....((((.........)))).))))).)............................ ( -6.90)
KRAS-53	4	1.3659769062208116	-8.7	0	0	..(((((....((((.........)))).))))).((((....((((....))))..))))... ( -8.70)
KRAS-54	4	0.9641915058870031	-9.3	0	0	(.(((((....((((.........)))).))))).).....(((((....)))))......... ( -9.30)
KRAS-56	2	0.5060216728870137	-11.9	0	0	......(((((..........(((((.((((.....)))).)))))....)))))......... (-11.90)
KRAS-57	2	0.5116361470976598	-7.8	0	0	..(((((....((((.........)))).)))))(((((...)))))................. ( -7.80)
KRAS-58	4	1.172338744459506	-7.0	0	0	((((((.....((((.........))))................)))))).............. ( -7.00)
KRAS-59	2	0.4663294297772759	-8.8	0	0	(.(((((....((((.........)))).))))).).((((......))))............. ( -8.80)
KRAS-60	1	0.0877930228118125	-7.8	0	1	..(((((....((((.........)))).)))))....(((....)))................ ( -7.80)
KRAS-61	1	0.2478918635101648	-10.9	0	0	(.(((((....((((.........)))).))))).)......((((((((.....)))))))). (-10.90)
KRAS-62	4	1.444063978873929	-10.1	0	0	(.(((((....((((.........)))).))))).).(((..(((........)))..)))... (-10.10)
KRAS-63	3	0.7194418578401025	-9.0	0	0	..(((((....((((.........)))).))))).(((.((........)).)))......... ( -9.00)
KRAS-64	4	1.3582465523347058	-14.9	0	0	(.(((((....((((.........)))).))))).).(((...((((((.....))))))))). (-14.90)
KRAS-65	4	1.5998779036192747	-6.9	0	0	(.(((((....((((.........)))).))))).)............................ ( -6.90)
KRAS-66	4	1.0331932229593805	-6.9	0	0	(.(((((....((((.........)))).))))).)............................ ( -6.90)
