header,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
row_11,-0.05656706765013493,-0.07137856431880954,-0.10955811188561272,-0.14433317583041377,-0.15416914648429103,-0.16001040347659468,-0.17399715658894943,-0.16397618276581793,-0.19090054277824375,-0.1977665244610392,-0.21467091783099368,-0.2103788260656542,-0.20747569775244187,-0.20329168052761626,-0.19766447792347863,-0.19575263183847968,-0.19100028488290272,-0.1864992653401685,-0.18392947455944875,-0.18203502004504069,-0.18127828969192475,-0.17994801967134558,-0.17274174044423496,-0.171180403215418,-0.1718257599151278,-0.17049107354887588,-0.1695072870705159,-0.1688631726012847,-0.16763338741369624,-0.1671441751642055,-0.16636136889534192,-0.1663025369414929,-0.16793598034331222,-0.16788818345456247,-0.1669727665224261,-0.16701621948088052,-0.16611066236171532,-0.16630390579178714,-0.16564105069733318,-0.16557618935974455,-0.16500378186201387,-0.16487937358044744,-0.16163128235284818,-0.16140584997428034,-0.15383451916391386,-0.1546467783855106,-0.15282956476970205,-0.15241495266973967,-0.1522140475752514,-0.15115333527848004
row_12,-0.10581314382743137,-0.101259595515156,-0.11503703916354445,-0.12381887276146963,-0.15404872836751612,-0.1731289532317507,-0.1881366797489023,-0.1986290415180889,-0.208705734746089,-0.20882440624926718,-0.20662683934614767,-0.2124144250878479,-0.20422832277776798,-0.20118352230442604,-0.19653003454003107,-0.19308159909734313,-0.19112395274260002,-0.18869420556169667,-0.18751948000073532,-0.18310466233302447,-0.1749262471158965,-0.17396500398958042,-0.17497779304128608,-0.1736436128966088,-0.17210501922446997,-0.17060630871844823,-0.16898105447233314,-0.16816070670390623,-0.16703513234786055,-0.16653770104242738,-0.1681512014768832,-0.16798269285602857,-0.16698222383408348,-0.16697838675454596,-0.16605591415845047,-0.16607463852011195,-0.16567324584948884,-0.16565264526891735,-0.16505730629677384,-0.165043904306088,-0.1619152927985475,-0.1618058153924156,-0.1541054713011941,-0.15398075680356504,-0.15217038013737083,-0.15198610722195283,-0.15182010910351454,-0.15268895830445872,-0.14374311063952894,-0.14302280888285127
row_13,-0.08612255399201546,-0.11313952305465474,-0.14882715993987547,-0.15927185024668913,-0.17038526384574207,-0.1700769299578821,-0.1833238664380091,-0.19448687386102925,-0.19778739572258558,-0.20657108902645066,-0.19551774056691448,-0.19565887483533678,-0.19872083449231048,-0.199688420755286,-0.199153160784019,-0.1934879412007964,-0.19243076284605534,-0.18995591936363276,-0.18083002730828657,-0.17907272997089208,-0.18103290489866775,-0.17668800916833236,-0.17465870999318878,-0.1732507512294431,-0.1709950189805457,-0.17013273500416398,-0.16875527112144934,-0.16774779973557974,-0.16934918345041416,-0.1686311575659517,-0.16758792567727746,-0.16712251657836086,-0.16616862471725258,-0.16603869643007246,-0.16581481052042052,-0.1657373349861803,-0.16509171159132127,-0.1650515877549551,-0.16214017651003743,-0.16203558566649645,-0.1548118340203884,-0.15423394572320023,-0.15249397319642907,-0.15233546137380455,-0.15219338129138507,-0.15201618624066612,-0.14322169416117853,-0.1429454250071019,-0.13795081540875126,-0.13895187720973
row_14,-0.09353878568975543,-0.13377566421390444,-0.14546283945044394,-0.16103599342803682,-0.17752610213759196,-0.18973043050049807,-0.17812137845666076,-0.18590855499255607,-0.18527679396260915,-0.18611704164708726,-0.19128037500724449,-0.1967429114431498,-0.19783441314609312,-0.19919543696492045,-0.1998913905255051,-0.19816208764148613,-0.18923773043918976,-0.18309816966988432,-0.1853060343306328,-0.18311603157956372,-0.1799231697245849,-0.17843953161584275,-0.1750703659565554,-0.171994421417186,-0.17017930722291918,-0.1694083198860167,-0.17089202342727164,-0.17033555977305992,-0.16913301361111502,-0.16828367498177338,-0.1668687747961895,-0.16649363049951085,-0.1663493041431689,-0.1660312639553561,-0.1653215928717474,-0.16514361796433064,-0.1623757760709647,-0.16226795083998236,-0.15581844758685975,-0.15532437400241977,-0.15369477711306645,-0.15313254244889823,-0.15301332621411262,-0.15236249168741156,-0.14364834206733235,-0.14345837148331836,-0.13817426367721342,-0.13807850160339036,-0.1218614264581028,-0.1208921694669074
row_15,-0.07221441702582544,-0.11901855102775759,-0.1365493397380754,-0.16692764961694878,-0.1716180115036601,-0.17116668999849613,-0.1629479193465513,-0.17360045705011673,-0.17391456272633232,-0.18410987504820547,-0.18825788717462175,-0.19366136306141485,-0.1975894076840459,-0.203057719127528,-0.19390998337130105,-0.19132898319703517,-0.19349963654556918,-0.19144730606471155,-0.1869037422875418,-0.1810887109306587,-0.1766817036809263,-0.17610432674120213,-0.17379055074678837,-0.17278204099726047,-0.17388906463995163,-0.17147834758426572,-0.17003969153358428,-0.16959181054396483,-0.167686930695157,-0.16742735733454928,-0.16726264902769908,-0.16669500155304215,-0.16567182248492357,-0.16553815920615153,-0.1628493305468527,-0.162597598799685,-0.15677903254705472,-0.1562592351084542,-0.15470355453201554,-0.1542280647549472,-0.15413289405167527,-0.15358826742734144,-0.1449460334878493,-0.14434214774092385,-0.13909826669080905,-0.1383425713027503,-0.12360822882459402,-0.12269889927241392,-0.12154613377620535,-0.12066151938948635
row_16,-0.02152378946839143,-0.09463364534636892,-0.09218586736504591,-0.14181292930311712,-0.11868985534147647,-0.15396524786034468,-0.14775830719108202,-0.156717500690661,-0.15911897990811985,-0.17939547812556228,-0.18422647279707116,-0.19252678165620934,-0.18388537185566647,-0.18910518893363554,-0.19231220704057772,-0.1953819761723337,-0.19012475502737702,-0.18746958933715768,-0.18311156661927824,-0.18288784378755427,-0.17465087071224802,-0.1737053770255641,-0.17418733476891238,-0.1745477659974214,-0.17189213268229603,-0.1712859052788709,-0.16888046994389386,-0.16777935943594674,-0.1675532349995107,-0.16748337427664328,-0.16597982932092337,-0.16602037703622435,-0.16343811692442733,-0.1630381050438292,-0.15773371323209384,-0.1572992404739444,-0.15578263494012512,-0.15525486130577212,-0.15517814621425657,-0.15461701907252803,-0.1460134421394253,-0.14550348701643495,-0.1403950619983148,-0.13976990119780228,-0.1275110373709574,-0.12559899318692264,-0.12455854782052787,-0.1225085717092416,-0.12175615416823905,-0.12071914128457907
row_17,0.020118235938668176,-0.023073849764100596,0.0010615632248455256,-0.0686865489399355,-0.05694540792669141,-0.11459882061688315,-0.14149609496661295,-0.15693556645078877,-0.16257563605680328,-0.16553347590200568,-0.15685356866764544,-0.17574561615704637,-0.1803476929012448,-0.18822386057505136,-0.18479591545499754,-0.1895098455058139,-0.18439367696324643,-0.18550894538312007,-0.17710108975409336,-0.1747562891782193,-0.1755991849277308,-0.17510064594488767,-0.1729487437961507,-0.17183203481957937,-0.1690335441656009,-0.1694200291187989,-0.16923812976151645,-0.168644333237772,-0.16662044973756118,-0.1658312940999111,-0.16340755633120724,-0.16345104519461678,-0.15858017053538978,-0.15836566455376488,-0.15682845273129642,-0.1562091541792549,-0.15616041403981445,-0.15572819348388778,-0.14728146618137056,-0.14656644917817263,-0.1415960098829394,-0.14097142426985074,-0.12878741559682055,-0.129150735296839,-0.12615880309243646,-0.1260756081270873,-0.12545704853996495,-0.12388569440013456,-0.11510913313445875,-0.114925718461753
row_18,0.12663780044752065,0.06084436333722272,0.052941023197294525,-0.0020952840160875976,-0.05480259241356335,-0.10250228679958022,-0.11197978446689445,-0.1478938012027417,-0.1459626755181443,-0.15422351057238134,-0.15978730390230653,-0.16263326796452754,-0.1663848576615234,-0.17474375290527044,-0.17032522657317511,-0.17980122564151862,-0.174424457481767,-0.17685792440500975,-0.17770290668664915,-0.17796571135139916,-0.17615865907320372,-0.1735854097096275,-0.17012021328206475,-0.1697511784034621,-0.16964926001434644,-0.16893233300563654,-0.16644638367726666,-0.16698215371567926,-0.1647677592537154,-0.16429524210535495,-0.15980062665486724,-0.15871512619937567,-0.15702270890539283,-0.15698829189597074,-0.15694170284193187,-0.15679476569861406,-0.14862233925718588,-0.14785150491410648,-0.14311593667801187,-0.14240013632445403,-0.12863920962856512,-0.12856504141798786,-0.12577912037581063,-0.12590850134970055,-0.12526786814590593,-0.12553145906769916,-0.11523797337584285,-0.1154994358319085,-0.1046521328242069,-0.10412557660756575
row_19,0.11116483115963538,0.08952485127446205,0.015074750004548408,-0.01168560616696595,-0.055800696969049254,-0.08356379950821888,-0.11837322900093898,-0.12325483424846007,-0.13341036060434874,-0.15468094145312808,-0.1534352642431411,-0.16271048450021142,-0.165711693498311,-0.16335027497744503,-0.16565228517357483,-0.1705917773823727,-0.17138902972071932,-0.17542502485795675,-0.17394001288011757,-0.17604942587556555,-0.1713305223417883,-0.17153852431839184,-0.17153247447558673,-0.1700431288599748,-0.1665199414652736,-0.16676865482929265,-0.16487851260194986,-0.16437784013824247,-0.16032917301664917,-0.1604671621491519,-0.15805736771591014,-0.15773891380313176,-0.1575816695290551,-0.156941663025882,-0.1488252677189037,-0.1488278444340187,-0.14421764472889598,-0.14396220310866148,-0.12885932709087208,-0.1286970077326544,-0.12591785985831655,-0.12583656817439884,-0.12491208050226957,-0.12509483231372243,-0.11496528967195141,-0.11507347186371332,-0.10412393923469489,-0.1043560016407725,-0.10039416723087449,-0.10061614729165586
row_20,-0.008538042053250289,0.029884033802971815,-0.03178914377830809,-0.04449299606520903,-0.06449805401072428,-0.08522710046239405,-0.09348622801866643,-0.1266612975698398,-0.1325631709967573,-0.144037949427531,-0.14937877609852773,-0.16000828209790557,-0.16612457042387818,-0.16980136670182291,-0.16906841962418911,-0.169344033322795,-0.1693157456564316,-0.17026154003849336,-0.16591990235029802,-0.16964263895838788,-0.1704062635288202,-0.1718823361400513,-0.165917813833156,-0.16727488364778667,-0.16534944536739532,-0.164747510986671,-0.16087340615293194,-0.1609123185396853,-0.15830259463640628,-0.15787748997998463,-0.15762629783438775,-0.1578364578882967,-0.14980197500924583,-0.1495246442532877,-0.1449640688459524,-0.14424931813646713,-0.1276554098562176,-0.12844128607592456,-0.12566669535021083,-0.12605796223011514,-0.1247556643745856,-0.12478690129767082,-0.11462534276912309,-0.11475386655098879,-0.10358908535512891,-0.10391014965202586,-0.10000676397980472,-0.10021336294942232,-0.09529712070478288,-0.09543567808578825
